ID,Age,Height,Weight,Sex,Total,Sport
87,27,162.0,65.0,F,0,Athletics
88,25,153.0,52.0,F,0,Athletics
89,17,153.0,,F,0,Gymnastics - Artistic
90,23,179.0,70.0,F,1,Swimming
91,23,201.0,102.0,M,2,Swimming
92,19,190.0,84.0,M,0,Swimming
93,28,182.0,64.0,F,0,Athletics
94,20,158.0,,F,1,Gymnastics - Artistic
95,21,186.0,74.0,M,0,Football
96,39,,,M,0,Equestrian
97,28,188.0,88.0,M,0,Water Polo
98,35,194.0,103.0,M,0,Water Polo
99,28,175.0,75.0,M,0,Swimming
100,16,160.0,50.0,F,0,Swimming
101,31,188.0,96.0,M,0,Rowing
102,18,,,M,0,Table Tennis
103,33,171.0,61.0,F,0,Hockey
104,20,202.0,90.0,M,3,Swimming
105,21,178.0,76.0,F,0,Sailing
106,25,177.0,66.0,F,0,Handball
107,27,,,M,0,Fencing
108,21,178.0,78.0,F,1,Judo
109,27,194.0,80.0,M,0,Athletics
110,34,165.0,50.0,F,0,Athletics
111,19,167.0,,F,0,Gymnastics - Rhythmic
112,27,170.0,67.0,F,0,Handball
113,28,189.0,82.0,M,0,Water Polo
114,29,196.0,113.0,M,0,Handball
115,22,,,M,0,Diving
116,19,174.0,66.0,M,0,Table Tennis
117,23,178.0,79.0,M,0,Football
118,28,196.0,92.0,M,0,Handball
119,25,160.0,50.0,F,0,Athletics
120,24,175.0,65.0,F,0,Handball
121,37,192.0,88.0,M,0,Equestrian
122,25,178.0,68.0,M,0,Badminton
123,35,,,M,0,Hockey
124,30,160.0,58.0,F,0,Shooting
125,25,170.0,74.0,M,0,Wrestling
126,23,176.0,,M,0,Taekwondo
127,23,172.0,66.0,M,0,Wrestling
128,20,,,M,0,Boxing
129,23,169.0,65.0,M,0,Athletics
130,25,165.0,68.0,F,0,Weightlifting
131,23,,,M,0,Hockey
132,21,190.0,60.0,M,0,Athletics
133,21,174.0,73.0,M,0,Football
134,21,178.0,71.0,F,0,Athletics
135,24,170.0,57.0,F,0,Athletics
136,31,170.0,60.0,F,0,Shooting
137,24,174.0,66.0,M,0,Badminton
138,24,188.0,80.0,M,0,Sailing
139,20,160.0,64.0,F,0,Athletics
140,26,192.0,104.0,M,0,Water Polo
141,29,177.0,61.0,F,0,Athletics
142,23,183.0,80.0,M,1,Canoe Slalom
143,35,183.0,90.0,M,0,Sailing
144,23,184.0,80.0,F,0,Volleyball
145,33,167.0,50.0,F,0,Athletics
146,24,175.0,,F,0,Taekwondo
147,29,178.0,59.0,F,0,Athletics
148,20,160.0,65.0,F,0,Football
149,20,,,M,0,Boxing
150,19,,,M,0,Swimming
151,24,,,M,0,Athletics
152,24,178.0,67.0,M,0,Cycling - Road
153,21,192.0,120.0,M,0,Wrestling
154,27,179.0,84.0,M,0,Wrestling
155,24,182.0,74.0,M,0,Fencing
156,25,166.0,56.0,F,0,Athletics
157,27,,,F,0,Athletics
158,24,191.0,79.0,F,0,Volleyball
159,23,183.0,79.0,M,0,Canoe Slalom
160,27,178.0,105.0,M,0,Weightlifting
161,24,160.0,49.0,F,0,Athletics
162,32,165.0,78.0,M,0,Athletics
163,21,180.0,78.0,M,0,Sailing
164,27,155.0,51.0,F,0,Hockey
165,21,160.0,74.0,M,0,Athletics
166,22,171.0,72.0,M,0,Football
167,18,,,F,0,Shooting
168,20,168.0,62.0,M,0,Football
169,21,178.0,66.0,M,0,Football
170,24,,,M,0,Swimming
171,40,,,M,0,Equestrian
172,21,176.0,65.0,M,0,Football
173,21,179.0,71.0,M,0,Football
174,21,175.0,65.0,M,0,Athletics
175,21,176.0,71.0,M,0,Football
176,20,166.0,69.0,F,0,Shooting
177,23,168.0,68.0,M,0,Football
178,24,173.0,68.0,M,0,Football
179,27,170.0,70.0,M,0,Shooting
180,29,169.0,68.0,M,0,Football
181,21,178.0,75.0,M,0,Football
182,22,181.0,80.0,M,0,Football
183,27,,,M,0,Equestrian
184,27,,,M,0,Athletics
185,31,180.0,104.0,M,0,Shooting
186,41,178.0,70.0,M,1,Shooting
187,30,187.0,65.0,M,0,Athletics
188,15,173.0,65.0,M,0,Swimming
189,35,,,M,0,Athletics
190,23,191.0,96.0,M,0,Athletics
191,18,175.0,65.0,M,0,Athletics
192,20,170.0,55.0,M,0,Athletics
193,19,162.0,60.0,F,0,Athletics
194,24,171.0,67.0,M,0,Athletics
195,22,175.0,83.0,M,0,Weightlifting
196,23,183.0,74.0,M,0,Football
197,23,168.0,,M,0,Taekwondo
198,17,155.0,43.0,F,0,Athletics
199,17,160.0,50.0,F,0,Archery
200,21,170.0,65.0,M,0,Athletics
201,24,,,M,0,Athletics
202,36,,,M,0,Athletics
203,35,,,M,0,Athletics
204,40,,,M,0,Shooting
205,28,195.0,110.0,M,0,Athletics
206,21,189.0,84.0,M,0,Football
207,26,164.0,55.0,F,0,Sailing
208,16,182.0,71.0,F,0,Athletics
209,23,175.0,73.0,M,0,Football
210,22,178.0,57.0,M,0,Athletics
211,20,170.0,65.0,M,0,Table Tennis
212,28,158.0,42.0,F,0,Athletics
213,20,176.0,75.0,M,0,Football
214,39,,,M,0,Shooting
215,18,175.0,65.0,M,0,Swimming
216,23,166.0,55.0,F,0,Athletics
217,23,170.0,66.0,M,0,Football
218,24,205.0,110.0,M,0,Swimming
219,31,172.0,67.0,M,0,Cycling - Road
220,24,192.0,156.0,M,0,Weightlifting
221,26,172.0,62.0,F,0,Basketball
222,41,165.0,64.0,F,0,Equestrian
223,29,178.0,81.0,F,0,Handball
224,23,176.0,76.0,M,0,Football
225,23,183.0,76.0,F,0,Rowing
226,20,,,F,0,Athletics
227,29,,,M,0,Cycling - Road
228,27,185.0,74.0,M,0,Athletics
229,39,172.0,62.0,F,0,Athletics
230,23,172.0,68.0,F,0,Sailing
231,28,178.0,87.0,M,0,Wrestling
232,45,180.0,100.0,M,0,Shooting
233,21,,65.0,M,0,Judo
234,27,184.0,75.0,M,0,Hockey
235,31,171.0,71.0,M,0,Hockey
236,24,154.0,,F,0,Taekwondo
237,26,171.0,60.0,F,0,Sailing
238,26,,83.0,M,0,Athletics
239,40,199.0,135.0,M,0,Athletics
240,27,164.0,,M,0,Boxing
241,22,189.0,94.0,M,0,Rowing
242,19,185.0,75.0,M,0,Swimming
243,20,185.0,96.0,M,0,Wrestling
244,21,164.0,62.0,F,0,Cycling - BMX
245,24,186.0,75.0,M,0,Athletics
246,20,188.0,89.0,M,0,Canoe Sprint
247,26,197.0,100.0,M,0,Water Polo
248,29,200.0,96.0,M,0,Volleyball
249,21,173.0,66.0,M,0,Football
250,25,175.0,75.0,M,0,Swimming
251,30,171.0,60.0,F,0,Athletics
252,18,,,M,0,Athletics
253,26,178.0,65.0,F,0,Athletics
254,20,184.0,82.0,M,0,Fencing
255,34,185.0,85.0,M,0,Canoe Sprint
256,22,191.0,96.0,M,0,Wrestling
257,20,185.0,80.0,M,0,Swimming
258,17,170.0,72.0,F,0,Swimming
259,40,158.0,53.0,F,0,Equestrian
260,37,162.0,55.0,F,1,Equestrian
261,29,,,M,0,Athletics
262,25,174.0,85.0,M,0,Table Tennis
263,27,176.0,72.0,F,0,Wrestling
264,23,167.0,61.0,M,0,Athletics
265,27,190.0,83.0,M,0,Athletics
266,37,176.0,68.0,M,0,Fencing
267,28,,,M,0,Athletics
268,17,,,F,0,Athletics
269,15,165.0,60.0,M,0,Swimming
270,26,200.0,110.0,M,0,Handball
271,25,185.0,72.0,M,0,Fencing
272,36,175.0,85.0,M,0,Shooting
273,26,175.0,74.0,M,0,Wrestling
274,22,170.0,60.0,M,0,Wrestling
275,27,179.0,68.0,F,0,Swimming
276,37,,,M,0,Athletics
277,29,165.0,55.0,F,0,Swimming
278,30,162.0,57.0,F,0,Badminton
279,22,188.0,86.0,F,0,Basketball
280,40,169.0,67.0,F,0,Shooting
281,22,170.0,65.0,M,0,Football
282,20,170.0,65.0,F,0,Swimming
283,23,180.0,73.0,M,0,Athletics
284,19,171.0,,M,0,Boxing
285,25,183.0,73.0,M,0,Swimming
286,27,169.0,55.0,M,0,Athletics
287,26,183.0,84.0,M,0,Tennis
288,27,,,M,0,Shooting
289,35,,,M,0,Shooting
290,20,,,F,0,Athletics
291,26,,,M,0,Boxing
292,23,182.0,63.0,M,0,Football
293,23,182.0,87.0,M,0,Swimming
294,24,185.0,88.0,M,0,Athletics
295,27,174.0,74.0,M,0,Swimming
296,28,180.0,64.0,F,0,Handball
297,31,163.0,,M,0,Gymnastics - Artistic
298,28,169.0,62.0,F,0,Football
299,23,176.0,72.0,F,0,Athletics
300,23,164.0,,M,0,Boxing
301,28,172.0,65.0,F,0,Handball
302,21,175.0,,M,0,Boxing
303,24,187.0,86.0,M,0,Handball
304,25,171.0,79.0,M,0,Athletics
305,31,,94.0,M,0,Weightlifting
306,27,,,F,0,Shooting
307,48,180.0,95.0,M,0,Shooting
308,19,176.0,70.0,M,0,Shooting
309,34,180.0,65.0,F,0,Swimming
310,32,181.0,84.0,M,0,Sailing
311,27,170.0,,F,0,Handball
312,23,175.0,78.0,F,0,Judo
313,25,157.0,56.0,F,0,Football
314,20,170.0,70.0,M,0,Football
315,21,174.0,90.0,M,0,Archery
316,32,,56.0,M,0,Weightlifting
317,21,,,M,0,Boxing
318,26,174.0,70.0,F,1,Judo
319,31,182.0,66.0,M,0,Athletics
320,26,194.0,88.0,M,0,Volleyball
321,18,174.0,,F,0,Gymnastics - Rhythmic
322,22,173.0,64.0,M,0,Football
323,24,,,F,0,Canoe Sprint
324,25,181.0,72.0,M,0,Cycling - Road
325,18,175.0,58.0,M,0,Athletics
326,18,174.0,61.0,F,0,Swimming
327,31,201.0,86.0,M,0,Volleyball
328,28,162.0,57.0,F,0,Judo
329,34,183.0,78.0,M,0,Hockey
330,24,198.0,54.0,F,0,Athletics
331,22,177.0,86.0,M,0,Athletics
332,25,165.0,,F,0,Synchronised Swimming
333,26,,,M,0,Boxing
334,32,177.0,75.0,M,0,Equestrian
335,19,160.0,55.0,F,0,Shooting
336,32,168.0,54.0,F,0,Athletics
337,23,169.0,53.0,F,0,Cycling - Road
338,21,208.0,,M,0,Basketball
339,24,210.0,,M,0,Basketball
340,25,186.0,84.0,F,0,Handball
341,29,167.0,62.0,F,0,Handball
342,18,179.0,60.0,M,0,Athletics
343,17,,80.0,F,0,Weightlifting
344,25,178.0,81.0,M,0,Football
345,23,161.0,55.0,F,0,Wrestling
346,23,187.0,90.0,M,0,Football
347,32,160.0,52.0,F,1,Judo
348,28,177.0,66.0,F,0,Athletics
349,23,180.0,70.0,F,0,Water Polo
350,27,187.0,100.0,M,0,Judo
351,26,176.0,65.0,M,0,Athletics
352,22,187.0,68.0,M,0,Swimming
353,32,212.0,102.0,M,0,Basketball
354,27,169.0,75.0,F,0,Shooting
355,21,173.0,64.0,F,1,Swimming
356,20,178.0,68.0,F,0,Swimming
357,19,162.0,,F,0,Synchronised Swimming
358,25,208.0,93.0,M,0,Volleyball
359,24,175.0,70.0,F,0,Basketball
360,29,201.0,110.0,M,0,Handball
361,34,185.0,90.0,M,0,Handball
362,31,170.0,55.0,F,0,Athletics
363,25,172.0,,F,0,Boxing
364,30,164.0,57.0,F,0,Football
365,21,185.0,79.0,M,0,Football
366,34,171.0,63.0,M,0,Cycling - Road
367,32,172.0,77.0,M,0,Sailing
368,20,172.0,62.0,F,0,Football
369,28,165.0,55.0,F,0,Wrestling
370,31,200.0,97.0,M,0,Volleyball
371,26,172.0,70.0,M,0,Athletics
372,36,180.0,70.0,M,0,Athletics
373,19,174.0,64.0,F,0,Swimming
374,28,168.0,58.0,F,0,Athletics
375,20,189.0,76.0,F,0,Swimming
376,37,173.0,68.0,M,0,Shooting
377,16,162.0,55.0,F,0,Shooting
378,22,196.0,120.0,M,0,Judo
379,25,189.0,102.0,M,0,Wrestling
380,22,194.0,95.0,M,0,Rowing
381,25,170.0,56.0,F,0,Cycling - Road
382,36,178.0,75.0,F,0,Rowing
383,26,181.0,80.0,M,0,Swimming
384,34,168.0,60.0,M,0,Shooting
385,27,164.0,60.0,M,0,Wrestling
386,22,,,F,0,Athletics
387,27,177.0,77.0,M,0,Sailing
388,31,162.0,,M,0,Gymnastics - Artistic
389,21,181.0,,F,0,Taekwondo
390,23,170.0,60.0,M,0,Athletics
391,28,162.0,63.0,F,0,Athletics
392,32,172.0,56.0,M,0,Athletics
393,28,192.0,105.0,M,0,Weightlifting
394,35,165.0,63.0,F,0,Judo
395,18,168.0,60.0,F,0,Water Polo
396,21,168.0,55.0,F,0,Wrestling
397,28,203.0,104.0,M,0,Basketball
398,22,187.0,90.0,M,0,Judo
399,29,,,F,0,Athletics
400,28,176.0,68.0,F,0,Beach Volleyball
401,23,177.0,69.0,M,0,Athletics
402,23,202.0,97.0,M,0,Basketball
403,20,170.0,55.0,F,0,Water Polo
404,19,168.0,50.0,F,0,Water Polo
405,30,174.0,55.0,F,0,Cycling - Road
406,25,175.0,73.0,F,0,Rowing
407,20,177.0,70.0,F,0,Rowing
408,23,174.0,95.0,M,0,Weightlifting
409,31,178.0,69.0,F,0,Athletics
410,18,,,M,0,Football
411,31,184.0,115.0,M,0,Athletics
412,29,203.0,106.0,M,0,Volleyball
413,26,180.0,78.0,M,0,Fencing
414,26,186.0,74.0,M,0,Table Tennis
415,30,172.0,50.0,M,0,Athletics
416,22,165.0,62.0,M,0,Football
417,28,186.0,80.0,F,0,Volleyball
418,17,162.0,60.0,F,0,Swimming
419,30,170.0,83.0,M,0,Shooting
420,25,172.0,62.0,M,0,Cycling - Track
421,24,198.0,100.0,M,0,Rowing
422,18,168.0,58.0,M,0,Athletics
423,27,171.0,64.0,M,0,Cycling - Road
424,30,169.0,,F,0,Boxing
425,20,187.0,77.0,M,0,Football
426,26,176.0,61.0,M,0,Athletics
427,26,177.0,65.0,M,0,Athletics
428,20,,,F,0,Athletics
429,23,182.0,79.0,M,0,Cycling - Track
430,32,212.0,115.0,M,0,Basketball
431,31,186.0,78.0,M,0,Hockey
432,31,199.0,,M,0,Basketball
433,26,171.0,55.0,F,0,Athletics
434,26,176.0,,M,0,Boxing
435,22,170.0,52.0,F,0,Athletics
436,18,,,F,0,Athletics
437,22,,,M,0,Wrestling
438,25,190.0,85.0,M,0,Athletics
439,19,,,M,0,Athletics
440,30,168.0,73.0,M,0,Football
441,17,168.0,58.0,F,0,Swimming
442,26,170.0,62.0,F,0,Football
443,20,178.0,72.0,M,0,Football
444,20,192.0,68.0,F,0,Volleyball
445,21,170.0,,M,0,Boxing
446,21,175.0,62.0,M,0,Athletics
447,24,158.0,53.0,F,0,Football
448,21,160.0,52.0,F,0,Football
449,21,163.0,52.0,F,0,Football
450,29,164.0,54.0,F,0,Athletics
451,25,,,M,0,Boxing
452,22,199.0,95.0,M,0,Rowing
453,29,188.0,77.0,F,0,Water Polo
454,31,193.0,139.0,M,0,Athletics
455,38,173.0,58.0,F,1,Cycling - Road
456,22,178.0,80.0,M,0,Swimming
457,24,,,M,0,Swimming
458,36,173.0,59.0,F,1,"Cycling - Road, Cycling - Track"
459,24,168.0,,M,0,Gymnastics - Artistic
460,27,185.0,72.0,F,0,Volleyball
461,35,194.0,95.0,M,0,Volleyball
462,20,193.0,105.0,M,0,Weightlifting
463,18,170.0,60.0,F,0,Swimming
464,20,163.0,60.0,M,0,Judo
465,25,165.0,59.0,F,0,Shooting
466,23,178.0,62.0,M,0,Athletics
467,29,190.0,77.0,F,0,Basketball
468,29,195.0,92.0,M,0,Athletics
469,17,188.0,79.0,M,0,Swimming
470,26,177.0,59.0,F,0,Athletics
471,23,,73.0,M,0,Table Tennis
472,25,168.0,85.0,F,0,Shooting
473,24,182.0,96.0,M,0,Wrestling
474,27,176.0,67.0,F,0,Beach Volleyball
475,28,177.0,70.0,F,0,Tennis
476,24,173.0,57.0,F,0,Athletics
477,24,180.0,76.0,M,0,Athletics
478,22,167.0,54.0,F,0,Athletics
479,25,165.0,55.0,F,0,Shooting
480,28,160.0,48.0,F,0,Modern Pentathlon
481,36,199.0,95.0,M,0,Beach Volleyball
482,25,164.0,60.0,F,0,Hockey
483,22,177.0,58.0,F,0,Athletics
484,27,166.0,64.0,F,0,Football
485,30,187.0,82.0,M,0,Athletics
486,19,172.0,60.0,M,0,Wrestling
487,20,,,F,0,Athletics
488,54,157.0,60.0,F,0,Shooting
489,19,173.0,64.0,F,0,Swimming
490,26,172.0,70.0,M,0,Athletics
491,23,166.0,56.0,F,0,Football
492,32,171.0,58.0,M,0,Athletics
493,36,158.0,65.0,F,0,Shooting
494,27,181.0,72.0,M,0,Rowing
495,21,174.0,62.0,F,0,Swimming
496,25,187.0,84.0,M,0,Fencing
497,21,194.0,92.0,M,0,Table Tennis
498,26,161.0,42.0,F,0,Athletics
499,24,168.0,53.0,F,0,Athletics
500,20,175.0,78.0,F,0,Judo
501,25,167.0,56.0,F,0,Athletics
502,26,179.0,68.0,M,0,Athletics
503,27,152.0,52.0,F,0,Athletics
504,23,158.0,,F,0,Taekwondo
505,30,180.0,96.0,M,0,Wrestling
506,21,162.0,62.0,M,0,Weightlifting
507,20,200.0,84.0,M,0,Volleyball
508,27,170.0,55.0,F,0,Athletics
509,18,179.0,70.0,M,0,Swimming
510,25,179.0,70.0,M,0,Cycling - Mountain Bike
511,26,188.0,118.0,M,0,Athletics
512,28,185.0,88.0,M,0,Athletics
513,23,173.0,71.0,F,0,Swimming
514,22,165.0,55.0,F,0,Athletics
515,32,176.0,68.0,M,0,Triathlon
516,28,190.0,90.0,M,0,Handball
517,26,186.0,,M,0,Boxing
518,28,178.0,81.0,M,0,Judo
519,19,,,F,0,Athletics
520,27,161.0,60.0,F,0,Hockey
521,20,171.0,60.0,F,0,Swimming
522,23,167.0,66.0,F,0,Fencing
523,23,187.0,77.0,M,0,Football
524,28,185.0,82.0,F,0,Basketball
525,25,170.0,58.0,F,2,Equestrian
526,30,164.0,44.0,F,0,Athletics
527,28,185.0,75.0,F,0,Basketball
528,30,168.0,62.0,F,0,Badminton
529,28,179.0,73.0,M,0,Athletics
530,19,178.0,85.0,M,0,Weightlifting
531,27,173.0,75.0,F,0,Judo
532,29,188.0,100.0,M,0,Judo
533,23,183.0,90.0,M,0,Athletics
534,27,175.0,100.0,F,0,Athletics
535,19,190.0,82.0,M,0,Swimming
536,22,167.0,63.0,M,0,Cycling - Track
537,18,164.0,61.0,F,1,Archery
538,35,177.0,84.0,M,0,Wrestling
539,23,178.0,70.0,M,0,Fencing
540,24,185.0,95.0,M,0,Athletics
541,20,175.0,65.0,F,0,Swimming
542,25,165.0,66.0,M,0,Judo
543,21,160.0,55.0,F,0,Wrestling
544,23,174.0,67.0,M,0,Fencing
545,24,166.0,60.0,M,0,Cycling - Track
546,24,182.0,82.0,M,0,Athletics
547,25,180.0,75.0,M,0,Fencing
548,22,173.0,51.0,F,0,Athletics
549,27,189.0,96.0,M,0,Wrestling
550,21,168.0,60.0,M,0,Swimming
551,21,186.0,68.0,F,0,Volleyball
552,26,169.0,54.0,F,0,Athletics
553,22,180.0,58.0,F,0,Athletics
554,20,168.0,58.0,M,0,Athletics
555,27,180.0,66.0,F,0,Handball
556,22,180.0,59.0,F,0,Athletics
557,24,183.0,78.0,F,0,Basketball
558,24,167.0,58.0,F,0,Rowing
559,34,178.0,58.0,F,0,Hockey
560,28,158.0,,M,0,Boxing
561,23,178.0,74.0,M,0,Wrestling
562,30,191.0,120.0,M,0,Wrestling
563,39,177.0,88.0,M,0,Shooting
564,23,182.0,67.0,F,0,Tennis
565,26,167.0,54.0,F,0,Athletics
566,52,180.0,74.0,M,0,Equestrian
567,30,185.0,91.0,M,0,Water Polo
568,16,162.0,,F,0,Gymnastics - Artistic
569,23,175.0,63.0,M,0,Athletics
570,24,192.0,,M,0,Taekwondo
571,17,174.0,,F,0,Taekwondo
572,23,178.0,73.0,M,0,Rowing
573,22,179.0,75.0,M,0,Football
574,21,172.0,60.0,M,0,Athletics
575,29,172.0,,M,0,Boxing
576,20,175.0,62.0,M,0,Athletics
577,22,190.0,120.0,M,0,Wrestling
578,27,186.0,82.0,M,0,Badminton
579,22,178.0,68.0,M,0,Athletics
580,33,175.0,71.0,M,0,Table Tennis
581,24,193.0,90.0,M,0,Beach Volleyball
582,23,179.0,70.0,F,0,Athletics
583,27,160.0,48.0,F,0,Athletics
584,24,170.0,58.0,F,0,Triathlon
585,22,188.0,80.0,M,0,Athletics
586,21,189.0,83.0,M,0,Football
587,21,180.0,73.0,M,0,Swimming
588,21,196.0,94.0,M,0,Football
589,23,156.0,48.0,F,0,Table Tennis
590,21,176.0,,F,0,Synchronised Swimming
591,17,170.0,,F,0,Gymnastics - Rhythmic
592,20,168.0,150.0,M,0,Athletics
593,25,194.0,90.0,M,0,Football
594,18,167.0,54.0,F,0,Swimming
595,28,189.0,84.0,M,0,Sailing
596,27,211.0,125.0,M,0,Basketball
597,28,182.0,,M,0,Boxing
598,36,180.0,84.0,M,0,Table Tennis
599,26,176.0,74.0,M,0,Wrestling
600,22,183.0,79.0,M,0,Football
601,23,186.0,80.0,M,0,Athletics
602,23,162.0,62.0,F,0,Cycling - Track
603,22,180.0,85.0,M,0,Canoe Sprint
604,22,187.0,67.0,M,0,Cycling - Mountain Bike
605,29,185.0,88.0,M,0,Beach Volleyball
606,25,,,M,1,Cycling - Road
607,29,183.0,87.0,M,0,Canoe Sprint
608,16,171.0,,F,0,Gymnastics - Rhythmic
609,23,169.0,,F,0,Synchronised Swimming
610,23,160.0,48.0,F,0,Judo
611,28,186.0,90.0,M,0,Judo
612,30,198.0,108.0,M,0,Rowing
613,23,191.0,97.0,M,0,Sailing
614,29,158.0,48.0,F,1,Judo
615,19,182.0,72.0,M,0,Shooting
616,26,163.0,55.0,F,0,Water Polo
617,24,166.0,60.0,M,0,Wrestling
618,21,168.0,56.0,F,0,Shooting
619,21,177.0,59.0,M,0,Athletics
620,22,,72.0,F,0,Wrestling
621,24,180.0,84.0,M,0,Wrestling
622,36,185.0,95.0,M,0,Shooting
623,30,181.0,65.0,M,0,Athletics
624,22,183.0,79.0,M,0,Swimming
625,28,163.0,45.0,F,0,Athletics
626,32,178.0,63.0,F,0,Athletics
627,24,185.0,80.0,M,0,Canoe Slalom
628,22,182.0,72.0,M,0,Football
629,26,176.0,69.0,F,0,Sailing
630,32,178.0,100.0,M,0,Shooting
631,23,186.0,80.0,M,0,Swimming
632,27,188.0,88.0,M,0,Hockey
633,26,185.0,72.0,M,0,Athletics
634,22,178.0,69.0,F,0,Fencing
635,26,174.0,70.0,F,0,Canoe Sprint
636,22,170.0,55.0,F,0,Athletics
637,49,168.0,60.0,F,0,Equestrian
638,27,163.0,54.0,F,0,Athletics
639,26,162.0,49.0,F,0,Athletics
640,29,164.0,52.0,F,0,Triathlon
641,21,167.0,60.0,F,0,Cycling - Mountain Bike
642,31,162.0,61.0,F,0,Shooting
643,20,185.0,88.0,F,0,Water Polo
644,19,208.0,100.0,M,0,Basketball
645,23,190.0,,M,0,Taekwondo
646,28,180.0,68.0,M,0,Athletics
647,26,200.0,93.0,M,0,Basketball
648,31,180.0,70.0,F,0,Volleyball
649,35,169.0,64.0,F,0,Canoe Sprint
650,25,168.0,59.0,F,0,Athletics
651,44,184.0,95.0,M,0,Shooting
652,30,,,M,0,Shooting
653,16,165.0,54.0,F,0,Table Tennis
654,27,188.0,77.0,M,0,Athletics
655,23,,,M,0,Athletics
656,19,162.0,,M,0,Gymnastics - Artistic
657,20,180.0,105.0,M,0,Weightlifting
658,28,192.0,90.0,M,0,Handball
659,24,185.0,82.0,M,0,Athletics
660,22,,,F,0,Badminton
661,24,169.0,57.0,F,0,Rowing
662,27,158.0,48.0,F,0,Diving
663,25,167.0,60.0,F,0,Cycling - Road
664,22,165.0,55.0,M,0,Wrestling
665,21,197.0,79.0,M,0,Football
666,24,178.0,78.0,M,0,Hockey
667,27,199.0,86.0,M,0,Athletics
668,22,198.0,120.0,M,0,Wrestling
669,29,180.0,69.0,M,0,Athletics
670,44,173.0,91.0,M,0,Shooting
671,19,180.0,69.0,F,0,Tennis
672,23,164.0,54.0,F,0,Swimming
673,28,164.0,61.0,F,0,Cycling - Road
